"Block","Addr","Name","Bits","RW","Value","Reset","Description"
"EH_MST","34","ER_SS","15:14","R","0","0","Sensor short detected (short between two sensors with same/different DC bias operating point and short between sensor and LC oscillator)"
"EH_MST","34","ER_OC_SIN","13","R","0","0","Overcurrent SINP or/and SINN detected"
"EH_MST","34","ER_OC_COS","12","R","0","0","Overcurrent COSP or/and COSN detected"
"EH_MST","34","AGC_MON_HI","11","R","0","0","AGC monitoring limit (upper bound) triggered"
"EH_MST","34","AGC_MON_LO","10","R","1","0","AGC monitoring limit (lower bound) triggered"
"EH_MST","34","ER_ADC","9","R","0","0","ADC related errors"
"EH_MST","34","ER_ADC_ZERO","8","R","0","0","ADC minimum value error"
"EH_MST","34","ER_ADC_V8","7","R","0","0","ADC maximum value error"
"EH_MST","34","ER_ADC_LIN","6","R","0","0","ADC linearity error"
"EH_MST","34","ER_REFGEN","5","R","0","0","AFE voltage reference error"
"EH_MST","34","ER_TRIA","4","R","0","0","AFE amplifier error"
"EH_MST","34","ER_FE","3","R","0","0","Frontend error"
"EH_MST","34","ER_DSP","2","R","1","0","DSP related error"
"EH_MST","34","ER_DACMON","1","R","0","0","DAC or analog backend error"
"EH_MST","34","ER_TEMPC","0","R","0","0","Temperature sensor error"
"EH_MST","36","OV_VS","15","R","0","0","Overvoltage on VS (PGI entry level)"
"EH_MST","36","OV_VSINT","14","R","1","0","Overvoltage on VS (Vov_VS)"
"EH_MST","36","OV_VAUX","13","R","0","0","Overvoltage on VAUX (auxiliary supply)"
"EH_MST","36","OV_VDDD","12","R","0","0","Overvoltage on VDDD (digital Supply)"
"EH_MST","36","OV_VDDA","11","R","0","0","Overvoltage on VDDA (analog Supply)"
"EH_MST","36","OV_VDAC","10","R","0","0","Overvoltage on VDAC (analog backend supply)"
"EH_MST","36","ER_BG","9","R","0","0","Bandgap related errors"
"EH_MST","36","REG_MON","8","R","0","0","Shadow register error"
"EH_MST","36","ER_DEIM","7","R","0","0","Die edge integrity error"
"EH_MST","36","ER_SPEED_HI","6","R","0","0","Speed too high error"
"EH_MST","36","ER_LCA","5","R","0","0","LC oscillator amplitude out of range"
"EH_MST","36","LC_HIGH","4","R","0","0","LC oscillator period too high"
"EH_MST","36","LC_LOW","3","R","0","0","LC oscillator period too low"
"EH_MST","36","ER_SL","2:0","R","0","0","Sensor loss error on [IN2, IN1, IN0]"
"EH_MST","38","ER_LC_OC","12","R","0","0","LCO overcurrent error (LCP/N short to VS)"
"EH_MST","38","ER_ABE_CM","11","R","0","0","ABE common mode error"
"EH_MST","38","ER_CHKSUM","10","R","0","0","EEPROM checksum error"
"EH_MST","38","UV_VDDA","9","R","0","0","Undervoltage on VDDA"
"EH_MST","38","UV_VS","8","R","0","0","Undervoltage on VS (PGI entry level)"
